fips,total_workers,outdoor_workers,percentage
05115,125509,12720,0.101347313738457
05117,7413,1182,0.1594496155402671
05119,1235716,109382,0.08851710263523334
05121,29316,1703,0.05809114476736253
05123,35003,4688,0.13393137731051624
05125,125360,14252,0.11368857689853222
05127,15112,278,0.018395976707252515
05129,7517,95,0.012638020486896369
05131,319466,22384,0.07006692417972492
05133,23799,861,0.03617799067187697
05135,17649,1082,0.0613065896084764
05137,12857,377,0.029322548028311426
05139,83976,12528,0.14918548156616177
05141,17593,1363,0.0774739953390553
05143,550900,47888,0.0869268469776729
05145,121102,10817,0.08932139849052864
05147,8909,289,0.03243910652149512
05149,32209,1520,0.047191778695395696
05999,195623,23026,0.11770599571625014
06001,3852538,397349,0.10313954073911795
06003,3564,191,0.053591470258136924
06005,60181,14957,0.2485335903358203
06007,396383,47441,0.11968474934596085
06009,49647,7963,0.16039237013313998
06011,45841,10061,0.21947601492114047
06013,1796347,195817,0.1090084488130634
06015,40212,10331,0.25691335919625985
06017,281469,40886,0.14525933584160244
06019,1974612,385306,0.1951299799656844
06021,46848,9869,0.2106600068306011
06023,245441,20682,0.08426465016032367
06025,315921,79936,0.2530252816368649
06027,36863,3424,0.09288446409679083
06029,1640123,493143,0.3006744006394642
06031,239456,26224,0.1095149004409996
06033,81401,12119,0.1488802348865493
06035,47839,16592,0.34682999226572464
06037,21798864,1646861,0.0755480193830284
06039,256847,49603,0.1931227540130895
06041,550779,61631,0.11189787555444199
06043,26928,1439,0.053438799762329174
06045,157618,17967,0.11399078785417908
06047,402564,24461,0.06076300911159468
06049,13000,2660,0.20461538461538462
06051,36482,2598,0.07121320103064525
06053,965717,343155,0.3553370190231714
06055,379482,26245,0.06916006556305701
06057,157867,22449,0.14220198014784596
06059,7971330,736998,0.09245608951078427
06061,858026,111880,0.130392319113873
06063,31631,3744,0.11836489519774904
06065,3788536,536160,0.14152168542149263
06067,3361728,416999,0.12404305166866564
06069,85297,10910,0.12790602248613667
06071,3912207,409370,0.10463914613925081
06073,7253727,707478,0.09753303370805105
06075,3611818,213071,0.05899272886950561
06077,1307931,206940,0.15821935560820868
06079,581254,92104,0.15845740416410037
06081,2030403,159376,0.07849476187732189
06083,1032532,206778,0.2002630426950448
06085,5456816,391356,0.07171874587671638
06087,511872,78320,0.1530070017504376
06089,331989,33625,0.10128347625975559
06091,2680,245,0.0914179104477612
06093,68847,4970,0.07218905689427281
06095,688219,101192,0.14703459218649878
06097,1019168,143069,0.14037823008571698
06099,954333,138401,0.14502380196430387
06101,158672,31987,0.20159196329535142
06103,94655,6061,0.06403253922138291
06105,13648,880,0.06447831184056271
06107,823220,196966,0.2392628944875003
06109,84858,12553,0.14792948219378255
06111,1610702,258045,0.1602065434822829
06113,528379,73322,0.1387678162833875
06115,95020,10255,0.10792464744264366
06999,2073492,47287,0.02280548948344146
08001,1126252,186472,0.16556862940088007
08003,41185,5000,0.12140342357654486
08005,1650182,145931,0.088433275844725
08007,21706,2327,0.10720538100064499
08009,5609,370,0.0659654127295418
08011,5496,116,0.021106259097525473
08013,930726,43092,0.046299340514823914
08014,200930,11271,0.056094162146021004
08015,41225,5256,0.12749545178896302
08017,3473,653,0.18802188309818602
08019,15575,729,0.04680577849117175
08021,7737,1280,0.16543880056869587
08023,4684,689,0.14709649871904354
08025,5516,474,0.08593183466279913
08027,4423,322,0.0728012661089758
08029,42006,5191,0.12357758415464458
08031,2612287,232758,0.0891012358136759
08033,2757,84,0.030467899891186073
08035,658755,60357,0.09162283398228477
08037,164317,18594,0.11315932009469501
08039,19711,4784,0.2427071178529755
08041,1419013,131498,0.09266863658049644
08043,68668,11424,0.16636570163686143
08045,128753,26403,0.20506706639845285
08047,21348,385,0.018034476297545437
08049,37370,4469,0.11958790473641959
08051,43618,6268,0.14370214131780457
08053,1371,187,0.1363967906637491
08055,8591,399,0.0464439529740426
08057,2927,523,0.17868124359412368
08059,1193446,121646,0.10192836542248246
08061,2394,187,0.07811194653299916
08063,14340,1283,0.0894700139470014
08065,11948,884,0.07398727820555742
08067,128353,16738,0.13040598973144377
08069,822283,78371,0.09530903594018118
08071,24424,3703,0.15161316737635114
08073,10968,1121,0.10220641867250183
08075,38837,5203,0.13397018307284292
08077,314588,41730,0.13264968784569023
08079,2826,50,0.017692852087756547
08081,23078,3735,0.1618424473524569
08083,45729,3726,0.08148002361739815
08085,77204,11056,0.14320501528418217
08087,62039,10391,0.16749141668950177
08089,30420,2648,0.08704799474030243
08091,10020,1041,0.10389221556886227
08093,13053,2076,0.15904389795449322
08095,8327,1064,0.12777711060405908
08097,81257,3890,0.04787279865119313
08099,22700,3616,0.15929515418502202
08101,308899,28763,0.09311457790410457
08103,14043,3778,0.2690308338674072
08105,20542,3506,0.17067471521760297
08107,75861,9932,0.13092366301525157
08109,7861,575,0.07314591018954332
08111,1729,12,0.006940427993059572
08113,27348,2428,0.08878162936960655
08115,3854,630,0.1634665282823041
08117,106598,7557,0.07089251205463518
08119,37426,2306,0.06161492010901512
08121,5895,75,0.01272264631043257
08123,550142,124942,0.22710863740634235
08125,20124,6188,0.30749354005167956
08999,112612,2549,0.022635243135722658
09001,2023734,143414,0.0708660327888942
09003,2481344,186841,0.07529830607928606
09005,299727,27896,0.09307136160572788
09007,336530,24902,0.07399637476599412
09009,1809393,150489,0.0831709860710194
09011,580524,47447,0.08173133238246826
09013,198350,18408,0.09280564658432064
09015,188751,8622,0.04567922818951953
09999,205243,3737,0.01820768552398864
10001,334883,20151,0.06017325453964519
10003,1439677,102569,0.07124445274877629
10005,415228,35257,0.0849099771691697
10999,37509,2727,0.07270255138766696
11001,3748174,344288,0.0918548605267525
12001,663194,41078,0.06193964360353079
12003,37818,2610,0.06901475487862922
12005,378625,40490,0.10693958402112909
12007,31794,3084,0.09699943385544442
12009,1109675,98689,0.0889350485502512
12011,4035274,326822,0.08099127841132969
12013,14523,1929,0.13282379673621153
12015,244498,28919,0.11827908612749388
12017,162207,22011,0.13569697978508943
12019,262096,25332,0.09665160857090532
12021,754487,118168,0.15662032612887963
12023,121195,10906,0.08998721069351046
12027,46488,6564,0.14119772844605058
12029,13618,1752,0.12865325304743722
12031,2626244,249588,0.09503610479452786
12033,689580,60545,0.08779982018039967
12035,123188,11616,0.09429489885378446
12037,16841,1500,0.08906834511014786
12039,80840,23589,0.2917986145472538
12041,17831,4258,0.23879759968594022
12043,9753,923,0.09463754742130627
12045,19347,2649,0.13692045278337728
12047,14757,1564,0.10598360100291387
12049,34410,3207,0.09319965126416739
12051,59902,9056,0.15118026109311877
12053,226162,21659,0.09576763558864884
12055,136128,14265,0.10479107898448518
12057,3539993,336588,0.09508154394655582
12059,17165,2375,0.13836294785901543
12061,264959,28002,0.10568427568038828
12063,72173,12907,0.1788341900710792
12065,13055,2912,0.2230563002680965
12067,6744,469,0.06954329774614472
12069,512663,72914,0.14222598471120404
12071,1347876,217142,0.1610993889645635
12073,756492,66413,0.08779074993522734
12075,44667,8557,0.19157319721494614
12077,9207,1562,0.16965352449223417
12079,22823,1394,0.0610787363624414
12081,641942,80387,0.12522470877431294
12083,536819,75545,0.14072713521689806
12085,347962,38318,0.11012122013323294
12086,5698795,463564,0.08134421399611673
12087,204542,22728,0.1111165433016202
12089,117971,9642,0.08173195107272126
12091,430410,32580,0.07569526730326898
12093,56824,6823,0.12007250457553147
12095,4196579,317195,0.07558418416524507
12097,490961,39749,0.08096162424306615
12099,3046151,288166,0.09460003788387378
12101,621833,74708,0.12014158142137842
12103,2179803,174399,0.08000677125409957
12105,1175625,114009,0.09697735247208931
12107,81508,10331,0.12674829464592433
12109,408462,32745,0.08016657608296487
